feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3
action_time_gap_10_mean,0.0030184233974388935,0.007399580462393798,0.009883730820546666,0.0038981240643619075,-0.009253969624321234,0.007545808329168235
Number of revisions Remove/Cut 10 word,0.00288343485937749,0.007058377728473227,0.0034847905274547064,0.010099190156691473,-0.008650749107527278,0.006600507860891058
word_count_sem,0.002842179587662169,0.007393269163516192,0.009920457500788904,0.0031564221450126606,-0.009253969624321234,0.007545808329168346
cursor_position_change_5_std,0.0028239500772889448,0.007072628450006903,0.00886577463884719,0.003898124064361852,-0.00901390672322161,0.007545808329168346
text_change_8_cnt,0.002743525990651363,0.010093642251239557,0.0017635153152509853,0.014221710671443788,-0.012986769968315215,0.007975647944225894
cursor_position_diff_Remove/Cut_mean,0.002709586117427415,0.008154099781609319,-0.0012161867909944446,0.00608204223450165,-0.007945798755837119,0.013918287782039573
down_event_6_cnt,0.002692110418678409,0.0053176516619441155,0.0042717717392085075,-0.0006212058406424026,-0.003445828437288301,0.010563704213435832
cursor_position_diff_ArrowRight_mean,0.002692110418678409,0.0053176516619441155,0.0042717717392085075,-0.0006212058406424026,-0.003445828437288301,0.010563704213435832
word_count_diff_comma_sum,0.002673769643074156,0.004638499616590411,-0.0005772063063675947,0.0005487100430136005,4.5439388866752584e-05,0.010678135446783865
time_diff_Unidentified_max,0.002673143126232902,0.004483732099604107,0.006916681126353852,-0.004023173606764852,0.0012014702379449238,0.006597594747397684
leading-edge revisions_mean,0.002667817519951418,0.0038853275702624033,0.008466048617653543,0.0013384466422967645,-0.002306230691841882,0.0031730055116972467
time_diff_comma_std,0.0025140182821624807,0.004592416874044074,-0.0023121608484873435,0.00747576763353075,-0.001822315745025671,0.006714782088632187
cursor_position_median,0.0024811791933823935,0.007139757243615896,0.0055002348221697694,-5.01640275414883e-05,-0.00746482128134951,0.011939467260250802
time_diff_ArrowDown_median,0.0024775327935264158,0.005302039237314921,0.001154625233717288,-0.000549054708267549,-0.0021328913880473976,0.011437452036703322
time_diff_ArrowLeft_max,0.0024748409561510393,0.0034603218807735593,0.007779000683591331,0.001220015887355208,-0.0017845588088235553,0.002684906062481174
cursor_position_diff_Leftclick_mean,0.002473325606070831,0.008156370632778019,0.0013242333090602854,0.0035364524618835547,-0.008965224252865,0.013997840906204484
cursor_position_diff_Input_sum,0.0024355936502120507,0.004260363517950467,0.004846094321899808,0.0014105876431354525,-0.003948455847887833,0.007434148483700775
time_diff_Unidentified_mean,0.002408577027481193,0.002832521592929652,0.0026797325140960337,0.006091707604422403,0.0027374640276751627,-0.0018745960362688274
action_time_gap_5_mean,0.0023542060005026927,0.0038734562088095317,-0.002389182653701749,0.005580988663059339,-0.0004897640959790062,0.006714782088632187
time_diff_Nonproduction_mean,0.0023435420745775287,0.007625856951487229,0.0055002348221698805,0.00017529068277977178,-0.008578052328772567,0.01227669512213303
down_time_min,0.0023290373410050913,0.007571011492290268,0.005500234822169825,-9.419097349228078e-05,-0.008366589606790154,0.012276695122132975
time_diff_Nonproduction_median,0.0022608647109240293,0.00394470790594732,-0.0023891826537018046,0.005580988663059339,-0.0008631292542936042,0.006714782088632187
down_event_2_cnt,0.002260800233426563,0.007039477421557415,0.004514922882625727,5.3632072179232715e-05,-0.00746482128134951,0.011939467260250802
IKI_sum,0.002260800233426563,0.007039477421557415,0.004514922882625727,5.3632072179232715e-05,-0.00746482128134951,0.011939467260250802
sent_word_count_skew,0.0022225238825540478,0.008439612641857977,0.0012382845742847648,0.0034246266120264157,-0.009770656562299473,0.013997840906204484
down_event_14_cnt,0.002218388757657258,0.0068425359381114135,0.008059922107240436,-0.0021569041126222044,-0.006667631644231342,0.009638168680242143
